words,links,capital_words,spam_word_count,is_spam
70,2,5,2,0
374,4,10,9,1
74,3,12,4,1
170,0,2,1,0
112,3,13,7,1
897,9,23,10,1
44,0,3,4,0
170,4,20,7,1
29,1,1,1,0
31,0,3,1,0
996,4,19,3,1
123,10,9,4,1
23,0,1,6,0
115,2,6,0,1
165,2,3,0,0
400,0,0,1,0
671,7,7,9,1
333,3,5,4,1
130,2,1,6,0
189,10,26,4,1
457,0,2,0,0
107,1,0,2,0
98,5,14,5,1
914,10,5,10,1
50,0,3,4,1
194,2,5,1,0
160,2,1,2,0
312,3,3,2,0
720,0,30,3,1
153,4,3,2,0
103,1,2,1,0
953,10,29,7,1
569,7,10,5,1
695,2,0,3,1
52,2,0,0,0
190,4,5,3,1
259,0,3,1,0
628,2,15,4,1
624,9,11,9,1
292,0,4,0,0
32,2,1,4,0
53,3,8,4,1
143,0,4,0,0
237,1,3,2,0
431,1,18,10,1
908,2,29,9,1
944,10,15,6,1
813,9,11,0,1
600,8,15,6,1
416,2,0,4,0
279,6,10,7,1
152,2,23,10,1
93,1,5,2,0
529,5,9,7,1
222,2,0,5,0
278,2,3,0,0
185,2,1,1,0
420,2,0,1,0
388,7,24,2,1
216,7,23,10,1
810,6,15,4,1
239,0,4,2,0
978,6,3,3,1
92,0,3,1,0
527,4,20,9,1
161,4,22,3,1
187,4,28,9,1
52,2,3,0,0
144,1,4,0,0
215,1,1,0,0
239,0,1,2,0
243,1,5,2,0
198,3,3,2,0
184,2,10,2,0
76,1,2,0,0
150,4,16,0,1
496,2,2,2,0
376,8,19,8,1
120,0,17,6,1
125,0,0,0,0
429,2,1,2,0
338,0,0,0,0
243,4,14,3,1
742,7,6,3,1
80,3,13,6,1
160,1,3,0,0
233,1,0,1,0
115,1,5,0,0
488,0,3,2,0
665,7,29,10,1
279,2,1,1,0
186,2,1,1,0
280,2,2,2,0
49,0,8,1,0
665,2,23,0,1
241,1,5,1,0
360,3,0,1,0
294,2,3,5,0
251,5,5,0,0
171,1,0,1,0
123,1,2,0,0
252,0,0,1,0
38,1,0,1,0
294,5,2,1,0
377,2,0,2,0
50,3,26,2,1
73,2,2,0,0
375,5,24,1,1
124,0,4,3,0
228,1,1,1,0
852,3,11,6,1
876,7,0,8,1
275,0,1,3,0
211,1,0,5,0
183,2,0,1,0
217,2,3,2,0
470,1,18,9,1
81,1,3,1,0
207,0,2,0,0
515,7,29,2,1
426,0,2,1,0
163,5,0,1,0
888,7,9,8,1
157,2,2,8,1
154,9,25,10,1
130,1,2,2,0
127,6,28,10,1
431,4,5,5,1
142,9,24,10,1
580,9,26,4,1
182,1,1,1,0
485,1,2,1,0
116,1,3,0,0
36,2,1,0,0
165,1,0,0,0
169,0,0,2,0
245,1,5,5,1
943,10,7,7,1
196,4,2,3,0
170,6,27,7,1
20,1,2,2,0
977,3,5,6,1
106,1,3,0,0
941,9,8,0,1
101,9,16,3,1
900,3,13,3,1
909,1,25,4,1
480,4,28,9,1
154,5,0,2,0
642,5,6,6,1
819,9,15,4,1
31,0,2,5,0
543,1,4,10,1
713,5,5,8,1
109,2,5,2,1
182,2,5,4,0
197,9,6,3,1
889,3,16,8,1
65,6,16,10,1
195,3,12,9,1
355,1,27,6,1
112,1,2,0,0
169,0,8,6,0
269,2,3,2,0
106,8,17,3,1
144,0,8,2,0
246,2,2,2,0
269,4,1,2,0
191,2,0,2,0
875,2,21,7,1
90,1,3,2,0
132,2,2,0,0
992,1,18,1,1
404,1,2,6,0
696,4,3,3,1
93,1,0,2,0
170,5,1,0,0
276,8,14,6,1
230,2,3,1,0
104,3,3,8,1
39,0,0,0,0
274,1,1,0,0
435,2,0,1,0
247,1,3,0,0
119,1,0,3,0
951,3,16,1,1
653,9,30,9,1
488,2,0,1,0
192,1,1,1,0
226,2,3,2,0
221,1,5,2,0
475,5,8,3,1
86,2,1,2,0
59,1,3,2,0
89,4,2,2,0
379,0,3,2,0
836,1,0,7,1
990,3,6,5,1
256,0,1,2,0
885,3,14,5,1
139,0,3,1,0
376,2,26,7,1
275,1,5,0,0
551,3,29,6,1
82,0,2,1,0
82,2,0,1,0
203,0,10,2,0
158,0,0,5,0
113,0,3,2,0
172,2,11,10,1
431,6,20,10,1
96,0,1,6,0
269,2,0,5,0
83,2,1,0,0
442,3,28,10,1
195,2,28,3,1
211,1,2,0,0
495,5,1,5,0
148,1,0,2,0
79,2,8,5,0
444,7,15,7,1
882,1,18,9,1
231,8,6,7,1
623,3,7,2,1
273,0,0,2,0
87,1,28,7,1
150,0,10,0,0
574,7,0,10,1
37,2,2,2,0
256,1,1,2,0
183,5,2,0,0
454,2,3,5,0
134,5,1,0,0
290,4,0,0,0
116,1,11,0,1
